29,96,48,101,87,1,17,92,88,86,61,100,89,94,16,47,90,70,30,97,93,67,72,39,91,43,4,66,68,5,59,58,85,95,99,36,33,45,41,77,76,2,0,56,71,98,50,18,10,40,9,55,49,6,13,65,75,73,15,46,23,79,22,14,63,54,37,42,12,7,21,35,38,32,20,8,51,74,3,62,25,31,52,44,11,64,60,57,28,83,34,19,53,26,27,69,84,24,78,82,80,81,
64,16,90,94,47,0,99,87,88,48,91,17,1,92,86,89,70,30,4,101,96,100,67,93,66,77,59,95,10,39,80,85,36,5,97,76,9,51,61,41,40,71,69,29,65,6,50,45,18,68,27,98,2,25,55,43,63,37,33,49,13,75,73,14,42,38,22,19,54,32,35,20,12,46,15,56,3,7,62,34,21,31,52,58,84,11,8,57,60,28,44,23,53,26,74,72,79,24,78,82,83,81,
44,90,86,98,96,95,62,87,17,89,16,48,93,101,94,88,47,66,30,70,1,100,67,85,91,4,59,39,77,5,92,29,45,97,76,9,0,36,71,41,69,57,68,21,2,40,10,60,99,55,43,6,18,50,33,37,73,63,49,13,15,83,14,22,42,19,75,12,51,54,38,46,32,35,7,65,25,3,31,56,20,11,52,74,84,8,64,58,61,28,34,23,53,26,27,72,79,24,78,82,80,81,
98,18,86,92,1,96,47,87,91,90,94,66,89,85,48,88,16,101,30,17,70,67,93,59,100,4,69,45,39,29,5,95,68,61,36,38,97,33,76,40,71,6,77,0,56,9,50,74,99,55,41,13,10,49,2,79,15,73,23,35,75,62,52,54,22,14,25,42,43,63,51,12,37,34,11,32,46,58,20,65,21,3,31,7,8,64,60,57,28,83,44,19,53,26,27,72,84,24,78,82,80,81,
6,98,86,95,48,47,89,87,88,94,70,91,1,96,16,17,30,90,100,77,59,5,66,93,101,67,4,85,10,40,39,61,92,29,36,33,97,76,41,69,71,68,0,56,9,65,45,50,74,18,99,55,13,49,43,2,75,73,15,79,23,46,14,63,54,22,35,37,42,21,51,12,38,52,32,20,8,58,62,25,3,31,7,44,11,64,60,57,28,83,34,19,53,26,27,72,84,24,78,82,80,81,
18,99,86,48,47,94,92,90,87,88,96,89,1,70,93,100,17,101,16,85,39,30,67,4,59,91,77,66,5,10,95,68,61,29,36,76,97,40,83,69,6,71,50,45,0,13,9,74,65,55,41,51,2,43,14,98,23,49,33,46,15,21,22,73,63,54,42,8,75,12,35,38,3,56,20,32,37,58,7,62,25,31,52,44,84,11,64,60,57,28,34,19,53,26,27,72,79,24,78,82,80,81,
14,92,16,66,100,101,87,89,96,17,86,47,88,94,48,70,98,30,90,85,91,59,1,71,93,4,5,67,39,61,95,10,29,97,68,36,76,69,40,77,0,6,83,50,9,65,45,41,99,58,55,43,56,19,13,18,49,2,22,21,46,15,33,35,73,37,75,63,54,42,51,12,38,52,20,32,8,74,27,62,25,3,34,31,7,84,11,64,57,60,28,44,23,53,26,72,79,24,78,82,80,81,
84,98,95,89,94,86,47,96,17,87,48,35,16,67,88,91,30,1,70,100,85,101,90,4,10,66,59,93,77,92,39,5,29,68,76,27,97,61,69,6,71,41,0,50,18,9,36,65,45,40,99,55,43,2,49,51,15,23,73,33,56,32,14,63,54,22,13,42,46,37,75,12,38,52,20,25,8,62,21,3,31,7,58,44,83,11,64,57,60,28,34,19,53,26,74,72,79,24,78,82,80,81,
79,97,95,88,94,47,16,17,89,90,86,87,48,53,1,93,70,85,55,96,101,100,4,45,30,67,59,66,91,77,92,29,5,99,76,0,40,61,36,69,71,38,50,6,68,41,9,58,18,98,2,39,10,15,33,62,14,75,49,73,13,42,51,22,19,21,43,63,54,56,46,12,35,37,32,3,7,74,20,65,25,31,52,11,60,57,28,83,8,44,34,23,64,26,27,72,84,24,78,82,80,81,
88,64,97,92,1,47,90,86,16,96,94,70,87,89,48,17,93,85,100,101,66,91,4,72,30,29,39,67,5,10,59,61,95,83,76,99,9,40,36,41,0,50,6,71,77,45,65,98,68,27,18,55,2,43,33,25,38,49,13,73,14,22,42,75,19,63,51,54,32,46,35,12,15,56,3,44,7,37,62,21,20,31,60,52,58,84,11,8,57,28,34,23,53,26,74,69,79,24,78,82,80,81,
