78,35,45,42,8,56,40,39,2,9,20,17,64,47,31,48,84,32,57,96,46,36,18,53,28,75,41,21,4,74,38,58,55,14,49,79,44,62,60,5,19,72,71,50,65,59,33,81,34,83,67,86,69,76,29,90,10,13,66,3,26,24,52,37,98,25,95,54,94,80,73,97,30,77,63,82,51,22,70,61,0,93,6,89,23,16,87,27,11,88,43,12,68,15,99,7,85,91,1,92,
60,45,8,35,9,42,40,17,32,39,64,82,57,20,2,75,47,48,49,28,31,36,96,46,53,4,83,62,18,41,56,50,84,38,14,44,55,24,19,30,78,37,52,65,72,76,21,29,80,95,58,61,10,71,81,34,74,86,5,67,90,59,13,97,73,33,26,63,77,3,92,94,25,54,79,69,23,51,98,87,11,7,43,88,93,99,12,6,16,85,22,70,66,68,89,27,91,15,0,1,
45,60,35,17,42,39,40,78,57,8,84,64,9,41,2,47,32,28,4,48,97,53,56,49,72,74,75,38,18,36,62,83,31,33,46,19,65,37,14,50,73,55,44,29,34,21,24,59,96,5,25,10,71,90,80,82,54,86,79,58,26,30,69,13,52,77,3,81,76,67,87,66,63,20,68,61,70,93,98,23,51,27,95,0,22,91,11,12,43,6,94,88,1,16,15,7,99,89,92,85,
42,60,39,35,8,45,40,83,48,49,17,9,57,2,47,44,64,82,96,32,4,31,28,53,38,41,36,75,18,84,62,29,71,46,33,21,30,65,24,14,19,56,78,81,58,34,10,50,86,80,69,20,55,74,76,73,67,25,37,13,54,5,59,61,51,90,87,72,3,79,26,16,77,11,63,94,52,99,97,7,27,22,70,98,92,23,6,66,91,95,68,89,15,12,43,93,1,88,0,85,
8,35,60,45,78,40,39,57,37,17,20,49,4,9,48,96,2,64,53,32,42,47,74,84,31,50,75,56,29,65,46,38,18,36,28,62,14,41,76,21,72,55,79,10,44,54,90,11,86,83,73,58,59,19,24,33,52,5,13,30,68,67,81,82,77,61,34,70,25,3,80,87,95,91,66,23,51,97,69,63,94,0,26,22,16,12,99,15,7,98,88,6,43,71,85,27,93,89,1,92,
56,45,39,42,40,35,17,64,8,47,2,41,48,9,78,32,31,28,74,36,49,4,46,19,44,26,50,53,95,62,29,84,14,83,21,33,86,38,65,18,96,79,57,75,37,5,24,77,55,76,10,60,34,3,67,25,59,68,90,30,54,73,72,58,13,51,20,63,52,12,81,23,94,82,61,22,69,80,66,91,16,93,87,0,70,43,98,1,27,6,11,97,99,7,88,71,85,92,89,15,
45,35,8,60,40,42,17,39,2,82,64,49,9,44,46,48,57,32,96,47,83,53,4,31,28,36,29,14,38,84,61,54,18,41,65,34,50,75,62,78,19,55,30,21,86,56,74,76,81,24,73,68,33,10,37,25,52,58,72,26,90,63,77,59,98,79,13,67,5,3,95,80,94,87,12,20,97,51,11,27,70,93,43,69,92,66,0,23,22,91,89,16,99,7,6,1,88,15,71,85,
42,45,56,39,35,17,84,40,8,9,82,64,44,4,47,32,2,96,48,57,54,31,46,53,75,28,50,49,36,83,18,58,65,14,19,71,41,30,38,55,78,74,34,29,24,86,60,37,72,25,59,62,90,76,21,26,87,5,77,81,80,13,73,10,33,11,3,67,51,95,79,20,0,52,6,94,12,22,43,99,61,63,23,98,91,27,1,16,97,69,70,93,66,7,68,89,85,88,92,15,
45,62,60,35,2,40,39,57,42,9,82,84,64,32,8,48,17,44,36,4,47,31,29,96,75,19,49,78,41,55,38,53,28,18,76,46,50,5,65,14,56,83,21,24,81,13,71,74,34,61,86,72,90,10,77,58,59,33,69,73,3,54,25,26,87,51,30,80,52,79,67,37,20,22,98,23,63,11,95,43,97,99,27,94,92,7,93,12,6,15,91,70,0,66,16,88,68,85,89,1,
42,8,45,60,35,40,78,39,17,48,20,57,2,47,49,9,75,4,38,96,53,19,64,32,28,36,79,29,46,84,56,50,74,41,73,31,62,14,21,18,83,71,90,5,24,65,44,55,13,81,33,52,72,58,11,76,86,37,54,30,3,67,59,26,34,82,61,10,93,80,51,63,77,12,22,25,69,6,91,94,70,68,87,97,66,98,23,95,27,99,92,16,43,85,7,0,1,88,15,89,
42,39,45,56,35,40,17,9,8,49,47,48,32,2,57,64,79,96,4,18,28,20,38,46,82,53,84,78,75,36,31,14,41,83,58,60,62,50,21,86,24,13,19,55,65,73,33,29,67,34,44,72,81,68,74,3,10,69,63,54,25,26,59,80,76,37,5,51,22,90,52,77,30,61,6,12,94,98,87,43,97,0,23,91,11,66,70,95,99,16,27,92,85,1,93,15,7,71,89,88,
60,35,39,45,41,42,17,8,32,2,9,57,40,48,64,82,49,96,47,53,4,31,36,75,29,46,72,37,84,14,68,19,50,38,18,28,21,86,65,90,73,56,44,79,78,24,58,5,80,83,55,62,67,33,13,25,74,34,10,3,61,54,63,52,59,95,76,69,23,87,20,30,26,81,12,70,22,77,27,43,92,97,51,6,11,66,98,99,7,94,15,0,1,85,16,93,91,88,89,71,
56,45,64,35,39,42,40,8,17,49,82,9,48,53,44,47,32,2,75,57,41,96,4,33,38,78,65,62,80,14,28,31,36,46,50,59,19,24,83,54,84,60,18,21,29,68,34,52,90,55,76,74,86,58,10,5,61,25,72,13,79,66,87,3,69,67,81,23,77,30,12,37,43,73,26,20,91,63,97,51,98,11,70,16,15,22,27,95,94,6,0,99,71,1,92,93,85,88,89,7,
