22,47,13,21,53,72,4,12,23,16,76,45,19,38,51,9,11,54,3,24,10,32,67,2,48,28,43,39,0,6,8,52,7,70,29,34,25,14,36,42,1,5,44,37,41,50,61,40,75,35,27,18,68,17,60,46,15,49,56,65,71,58,59,64,63,57,62,69,20,30,31,66,74,73,55,26,33,
22,47,21,53,12,76,2,19,34,72,23,67,13,15,54,11,45,50,10,24,4,28,32,5,7,8,1,6,0,9,70,51,39,3,38,49,25,43,41,48,18,35,37,46,17,68,55,14,36,44,16,42,61,52,40,27,57,30,75,63,60,62,71,65,64,59,66,58,73,74,26,69,56,29,31,33,20,
23,47,12,13,22,53,72,21,4,19,24,15,76,38,45,11,54,0,10,49,67,32,51,9,1,28,48,3,8,5,26,2,41,7,70,6,46,39,36,43,17,35,42,52,14,37,44,27,60,40,34,50,56,18,16,59,29,71,58,64,57,68,65,61,62,63,55,69,20,73,66,31,33,75,74,25,30,
53,22,21,47,13,72,12,3,76,38,19,23,14,11,48,24,10,0,44,4,32,54,67,45,28,2,51,70,9,5,7,39,8,1,40,34,42,41,6,18,43,49,25,37,52,31,35,61,50,36,17,46,27,68,66,60,64,65,56,59,69,71,62,16,74,58,63,57,15,55,73,75,20,33,26,30,29,
22,53,21,38,72,2,12,19,47,76,29,11,23,24,14,54,0,45,13,51,67,10,32,3,9,4,28,5,7,41,8,39,48,6,62,26,70,43,37,1,36,40,34,46,35,42,44,27,49,17,18,52,59,68,16,61,50,55,15,65,60,64,56,74,71,63,57,69,75,30,58,66,20,73,33,31,25,
22,21,47,53,13,2,12,72,38,76,16,23,24,19,11,54,45,48,0,32,10,3,4,67,28,1,9,6,8,25,5,51,7,17,36,42,39,44,43,70,49,34,46,40,50,52,60,27,14,35,57,41,18,31,68,62,58,63,55,37,56,75,64,59,71,61,15,66,69,74,73,65,29,33,26,30,20,
22,21,53,13,4,47,76,12,23,72,19,15,34,49,24,11,44,54,0,28,9,67,10,32,2,26,3,45,5,51,6,7,1,39,41,17,43,8,48,37,62,42,38,36,27,14,30,35,52,46,70,40,18,57,68,50,71,60,55,16,64,63,65,56,75,59,74,20,61,69,29,58,25,73,66,31,33,
22,53,21,38,72,2,13,47,12,19,15,76,23,24,11,48,54,0,32,45,3,28,10,6,9,67,7,4,8,51,5,49,1,43,70,25,34,37,52,39,35,41,46,40,50,29,42,14,16,17,36,61,27,68,44,62,18,66,56,58,75,71,63,59,55,60,57,65,69,64,73,74,30,33,20,31,26,
22,47,21,53,13,4,72,12,19,76,23,38,14,11,54,24,10,45,32,48,3,28,0,2,67,9,8,7,51,1,5,6,39,34,25,43,61,40,35,37,41,42,36,49,17,65,70,46,18,52,68,64,44,56,50,27,31,16,60,71,55,57,58,59,63,74,69,75,62,73,15,33,30,66,29,26,20,
22,47,21,13,53,4,19,23,72,76,12,34,14,24,11,49,54,2,28,0,45,9,32,10,67,51,7,3,39,5,8,6,38,36,25,1,40,35,42,60,15,52,48,18,43,17,37,68,41,30,69,44,70,50,57,58,27,61,66,63,65,64,46,71,55,62,75,56,33,59,16,73,74,29,31,20,26,
